Nama,Node,Permintaan,Time Begin,Time End
Konsumen 1,1,25,7:00,8:00
Konsumen 2,7,30,7:00,8:00
Konsumen 3,12,20,7:00,8:00
Konsumen 4,21,35,9:00,9:00
Konsumen 5,46,30,8:00,10:00
Konsumen 6,60,45,7:00,10:00
Konsumen 7,95,50,7:00,8:00
Konsumen 8,135,35,7:00,8:00
Konsumen 9,177,50,8:00,11:00
Konsumen 10,189,40,7:00,11:00
Konsumen 11,210,55,8:00,10:00
Konsumen 12,244,15,8:00,11:00
Konsumen 13,256,25,7:00,9:00
Konsumen 14,289,35,8:00,9:00
Konsumen 15,315,50,7:00,8:00
Konsumen 16,333,55,8:00,12:00
Konsumen 17,376,20,8:00,10:00
Konsumen 18,402,25,7:00,10:00
Konsumen 19,355,45,7:00,8:00
Konsumen 20,400,35,7:00,12:00
Konsumen 21,235,20,8:00,9:00
Konsumen 22,104,50,9:00,11:00
Konsumen 23,144,30,11:00,12:00
Konsumen 24,140,20,9:00,11:00
Konsumen 25,101,30,12:00,13:00
Konsumen 26,254,45,14:00,15:00
Konsumen 27,141,35,10:00,12:00
Konsumen 28,221,15,13:00,14:00
Konsumen 29,174,10,9:00,10:00
Konsumen 30,264,15,10:00,11:00
Konsumen 31,248,20,7:00,9:00
Konsumen 32,298,20,7:00,9:00
Konsumen 33,386,20,7:00,9:00
Konsumen 34,39,20,7:00,9:00
Konsumen 35,81,20,7:00,9:00
Konsumen 36,44,20,8:00,10:00
Konsumen 37,62,20,8:00,10:00
Konsumen 38,28,20,8:00,10:00
Konsumen 39,4,20,10:00,10:00
Konsumen 40,113,20,8:00,10:00
Konsumen 41,106,20,9:00,12:00
Konsumen 42,181,20,9:00,12:00
Konsumen 43,175,20,9:00,12:00
Konsumen 44,205,20,9:00,12:00
Konsumen 45,161,20,9:00,12:00
Konsumen 46,292,20,10:00,12:00
Konsumen 47,242,20,10:00,12:00
Konsumen 48,399,20,10:00,12:00
Konsumen 49,408,20,10:00,12:00
Konsumen 50,296,20,10:00,12:00
